代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,Market Cap,市盈率,PB,5日的区间涨跌幅,PEG
sz300611,美力科技,6.54,-0.08,-1.208,6.52,6.54,6.62,6.37,6.82,5.81,12443775.0,77615467.0,1380428407.2,2.35,1.38,-0.22142857142857145,-0.9257575757575759
sz000552,甘肃能化,2.85,0.2,7.547,2.85,2.86,2.65,2.63,2.87,2.61,41000760.0,112156274.0,15252612478.2,3.53,1.09,-0.03389830508474579,4.568235294117646
sz300390,天华新能,19.12,2.21,13.069,19.11,19.12,16.91,16.74,19.25,16.72,23857584.0,435206373.0,16013710843.36,4.35,1.3,-0.028455284552845465,0.7182242990654205
sz000707,双环科技,6.15,0.39,6.771,6.14,6.15,5.76,5.74,6.21,5.51,11519266.0,67788611.0,2854496454.75,4.63,1.49,-0.09158050221565721,4.343755795981453
sz000897,津滨发展,2.02,0.07,3.59,2.02,2.03,1.95,1.89,2.06,1.83,48475795.0,94095524.0,3266889912.68,4.84,1.22,-0.0733944954128441,-10.493036611629577
sz000014,沙河股份,11.06,-0.21,-1.863,11.06,11.07,11.27,10.75,11.32,10.14,26617286.0,279378026.0,2677031237.44,4.88,1.64,-0.1518404907975459,0.8318181818181817
sh600971,恒源煤电,10.62,0.12,1.143,10.61,10.62,10.5,10.43,10.86,10.29,16558514.0,174587946.0,12744051868.08,4.96,1.04,-0.031021897810219124,6.138929336188436
sh600256,广汇能源,6.58,0.32,5.112,6.57,6.58,6.26,6.27,6.66,6.21,82252299.0,528934864.0,43202668814.62,5.28,1.5,-0.06666666666666664,4.237227557411274
sh600348,华阳股份,9.57,0.27,2.903,9.56,9.57,9.3,9.27,9.68,9.05,52238740.0,489640333.0,34523775000.0,5.29,1.24,-0.010341261633919302,5.3629655172413795
sz000937,冀中能源,7.36,0.13,1.798,7.35,7.36,7.23,7.19,7.45,7.12,78929317.0,573355061.0,26006904816.0,5.82,1.2,-0.023872679045092802,9.277532387415174
sz300073,当升科技,30.96,2.75,9.748,30.96,30.97,28.21,28.0,31.0,27.82,11915831.0,354431906.0,15681263963.04,6.29,1.24,-0.026415094339622636,7.212319356857458
sz300861,美畅股份,24.04,2.24,10.275,24.03,24.04,21.8,21.67,24.13,21.34,8153596.0,187735432.0,11539488480.0,6.29,1.85,-0.01029230135858378,6.763472879751118
sh603071,物产环能,13.35,0.54,4.215,13.34,13.35,12.81,12.9,13.63,12.49,4473793.0,58267827.0,7448691800.7,6.45,1.51,-0.053862508858965256,-45.982258064516124
sh601918,新集能源,5.59,0.1,1.821,5.58,5.59,5.49,5.44,5.69,5.3,58086173.0,318876961.0,14481128662.0,6.76,1.09,-0.05574324324324326,-30.184869565217404
sh600499,科达制造,10.89,0.92,9.228,10.88,10.89,9.97,9.96,10.94,9.87,27802474.0,292321058.0,21218293026.81,7.28,1.84,0.005540166204986196,2.2935221238938053
sz300575,中旗股份,5.31,0.11,2.115,5.3,5.31,5.2,5.1,5.49,5.01,12866359.0,66948912.0,2467856484.0,7.47,1.13,-0.11055276381909551,7.809545454545452
sh600481,双良节能,6.73,0.48,7.68,6.73,6.74,6.25,6.15,6.75,6.07,30318480.0,196542062.0,12589550219.230001,7.65,1.88,-0.01895043731778424,3.7587276958882856
sh603613,国联股份,16.28,0.73,4.695,16.27,16.28,15.55,15.5,16.52,14.8,20091783.0,314847078.0,11759586335.640001,7.76,1.75,-0.08022598870056487,8.183272727272728
sh603339,四方科技,8.31,0.34,4.266,8.31,8.33,7.97,7.82,8.56,7.61,6568139.0,52654223.0,2571456164.25,7.81,1.08,-0.1307531380753138,9.762500000000001
sh600483,福能股份,8.36,0.28,3.465,8.36,8.37,8.08,8.02,8.48,8.01,25955921.0,214818005.0,21242291054.16,7.84,1.03,0.008443908323281096,9.538666666666664
sh601975,招商南油,2.94,0.14,5.0,2.93,2.94,2.8,2.78,2.99,2.72,78593070.0,225616759.0,14267184513.119999,8.07,1.64,-0.029702970297029656,2.0175
sz000700,模塑科技,4.54,0.15,3.417,4.54,4.55,4.39,4.31,4.69,4.1,37886084.0,166300055.0,4167789866.06,8.22,1.17,-0.1368821292775665,-2.326825396825397
sh600603,广汇物流,5.97,0.25,4.371,5.96,5.97,5.72,5.69,6.08,5.33,20340852.0,116867589.0,7346384401.469999,8.22,1.19,-0.08715596330275234,-61.06285714285714
sh601900,南方传媒,10.69,0.72,7.222,10.68,10.69,9.97,9.68,10.85,9.3,24458266.0,248744831.0,9576920490.539999,8.27,1.3,-0.05314437555358722,-446.5799999999996
sz300499,高澜股份,7.76,0.14,1.837,7.76,7.77,7.62,7.5,8.14,7.05,21507948.0,162303919.0,2368728856.64,8.3,1.67,-0.2016460905349795,2.4792207792207797
sh603299,苏盐井神,7.53,0.45,6.356,7.52,7.53,7.08,7.03,7.63,6.92,7525806.0,55116844.0,5889129183.570001,8.45,1.1,-0.049242424242424206,6.01362512363996
sh603876,鼎胜新材,8.23,0.32,4.046,8.22,8.23,7.91,7.85,8.34,7.58,18648684.0,148109989.0,7322763184.72,8.62,1.16,-0.10152838427947596,4.31
sh601619,嘉泽新能,3.13,0.21,7.192,3.12,3.13,2.92,2.87,3.17,2.84,32563610.0,98461433.0,7619501042.53,8.78,1.21,-0.018808777429467103,-23.638461538461538
sz300839,博汇股份,7.22,0.38,5.556,7.2,7.22,6.84,6.81,7.33,6.51,5464656.0,37915849.0,1772287414.62,8.86,1.68,-0.11193111931119323,2.1828985507246377
sh600373,中文传媒,14.05,0.9,6.844,14.05,14.06,13.15,13.0,14.29,12.38,27263952.0,364605132.0,19038645251.95,9.03,1.07,-0.051316677920324086,-151.5033333333332
sh601827,三峰环境,7.11,0.21,3.043,7.11,7.12,6.9,6.79,7.2,6.69,14094266.0,97324458.0,11932485480.0,9.16,1.16,-0.05326231691078555,-112.97333333333344
sh603307,扬州金泉,33.93,1.93,6.031,33.92,33.93,32.0,32.02,34.6,30.81,518200.0,16993277.0,2273310000.0,9.32,1.74,-0.07472047995636766,6.812072727272727
sh603165,荣晟环保,9.11,0.38,4.353,9.11,9.12,8.73,8.45,9.29,8.28,7423441.0,64727386.0,2536508924.3599997,9.53,1.22,-0.10773751224289925,-22.304255319148933
sz300363,博腾股份,16.92,1.33,8.531,16.92,16.93,15.59,15.2,16.96,15.2,14721886.0,238047053.0,9238959914.400002,9.68,1.55,-0.046223224351747284,3.4394139194139184
sh600163,中闽能源,3.63,0.23,6.765,3.63,3.64,3.4,3.35,3.73,3.33,18374361.0,64749205.0,6907875999.09,9.76,1.16,-0.09250000000000003,-677.4485714285721
sh603161,科华控股,11.26,0.17,1.533,11.25,11.26,11.09,10.68,11.6,10.0,4390932.0,46968362.0,1502084000.0,9.79,1.11,-0.15018867924528304,-6.852999999999999
sz300118,东方日升,13.98,1.28,10.079,13.98,13.99,12.7,12.52,14.01,12.52,35738458.0,477786558.0,15937393804.74,9.8,1.04,-0.04897959183673462,-0.4414414414414415
sh603799,华友钴业,24.04,1.54,6.844,24.03,24.04,22.5,22.47,24.08,22.38,38759819.0,907692604.0,41110480229.28,9.83,1.28,-0.035313001605136535,-2447.6699999999437
sz000923,河钢资源,14.72,0.73,5.218,14.72,14.73,13.99,13.68,14.8,13.59,12974784.0,184604252.0,9608170305.92,9.93,1.06,-0.05093488072211471,-20.348896083872955
sh603180,金牌厨柜,18.93,0.94,5.225,18.93,18.95,17.99,18.25,19.31,17.12,2704679.0,49020442.0,2920085199.3,9.96,1.11,-0.06426099851705391,-45.11294117647059
sh600729,重庆百货,29.29,0.25,0.861,29.29,29.3,29.04,30.36,30.36,26.2,4308167.0,123813034.0,11907218739.85,10.08,1.98,-0.006107906345436028,-159.93600000000006
sh600829,人民同泰,5.49,0.06,1.105,5.48,5.49,5.43,5.11,5.65,4.96,13797384.0,72566779.0,3183588397.53,10.09,1.18,-0.16565349544072946,-201.88443514644325
sz000928,中钢国际,5.61,0.08,1.447,5.61,5.62,5.53,5.18,5.77,5.03,88682018.0,477646624.0,8048356323.81,10.1,1.2,-0.17378497790868921,-245.94218009478666
sh600475,华光环能,9.11,0.83,10.024,9.11,0.0,8.28,8.3,9.11,7.99,15644032.0,134911355.0,8596771004.98,10.46,1.08,-0.08991008991008995,-251.90395280235958
sh603326,我乐家居,5.98,-0.51,-7.858,5.98,5.99,6.49,6.0,6.3,5.84,12960063.0,77297899.0,1933669956.4,10.47,1.71,-0.2352941176470588,-5.510526315789474
sh601001,晋控煤业,11.57,0.04,0.347,11.57,11.58,11.53,11.31,11.82,11.16,18908043.0,216378853.0,19364709000.0,10.57,1.2,-0.051639344262295,-30.60895833333334
sz300507,苏奥传感,4.19,0.2,5.013,4.19,4.2,3.99,3.94,4.33,3.69,31229382.0,124401919.0,3316506120.3300004,10.58,1.75,-0.150101419878296,7.0533333333333355
sz000887,中鼎股份,9.68,0.88,10.0,9.68,0.0,8.8,8.73,9.68,8.66,23046081.0,214732109.0,12743620750.96,10.63,1.08,-0.028112449799196897,-207.28499999999983
sh603508,思维列控,11.7,0.59,5.311,11.69,11.7,11.11,11.09,11.86,10.6,6747017.0,75295801.0,4460910210.9,10.68,1.02,-0.10344827586206908,-99.03272727272727
sh603319,湘油泵,11.98,0.37,3.187,11.97,11.98,11.61,11.02,12.2,10.8,7158209.0,82487908.0,2492636214.76,10.7,1.5,-0.13626532083633733,-98.43999999999991
sh600522,中天科技,11.53,0.84,7.858,11.52,11.53,10.69,10.66,11.59,10.42,59163490.0,659938519.0,39351309487.56,10.72,1.2,-0.002595155709342659,0.7292517006802722
sh601028,玉龙股份,7.53,0.42,5.907,7.53,7.54,7.11,7.05,7.63,6.85,18386385.0,133363293.0,5896183972.8,10.76,1.91,-0.09057971014492744,-53.661607717041804
sh601686,友发集团,5.23,0.21,4.183,5.22,5.23,5.02,4.91,5.28,4.87,6308775.0,32027829.0,7477334399.500001,10.83,1.19,-0.09201388888888878,-21.167727272727273
sh600863,内蒙华电,4.07,0.11,2.778,4.06,4.07,3.96,3.94,4.09,3.93,116456730.0,466604434.0,26564433390.77,10.84,1.68,0.004938271604938386,3.4231578947368417
sh600846,同济科技,8.09,0.2,2.535,8.08,8.09,7.89,7.8,8.28,7.46,9591347.0,75091637.0,5054320664.44,10.97,1.32,-0.04373522458628853,-28.03444444444445
sh601636,旗滨集团,5.84,0.42,7.749,5.83,5.84,5.42,5.4,5.88,5.32,45158915.0,253796531.0,15671651335.44,11.09,1.23,-0.003412969283276529,-15.957744320712692
sz000650,仁和药业,5.69,0.43,8.175,5.68,5.69,5.26,5.22,5.74,5.17,38270208.0,209886313.0,7965648551.460001,11.18,1.33,-0.006980802792321122,-76.66285714285713
sh600537,亿晶光电,3.83,0.27,7.584,3.83,3.84,3.56,3.52,3.89,3.42,36316784.0,132976616.0,4581024768.940001,11.18,1.64,-0.06812652068126526,-9.196451612903227
sz000065,北方国际,9.4,0.14,1.512,9.4,9.41,9.26,8.9,9.74,8.51,22450379.0,204034897.0,9418740902.2,11.21,1.16,-0.13443830570902388,-136.38833333333346
sz000026,飞亚达,8.54,0.37,4.529,8.53,8.54,8.17,8.0,8.73,7.8,9546739.0,78506739.0,3545978543.7999997,11.22,1.08,-0.10199789695057841,-38.432115238817296
sh603515,欧普照明,14.83,0.66,4.658,14.74,14.83,14.17,13.93,14.96,13.43,4329431.0,61701670.0,11069498099.05,11.29,1.74,-0.05960684844641722,-84.67500000000003
sh603365,水星家纺,15.8,0.84,5.615,15.79,15.8,14.96,14.65,16.04,14.15,5503871.0,83790194.0,4151189300.0,11.3,1.47,-0.008160703075957251,-40.23902439024391
sh600618,氯碱化工,7.06,0.28,4.13,7.05,7.06,6.78,6.71,7.18,6.52,8274464.0,56517769.0,8164183830.559999,11.59,1.05,-0.11970074812967581,-51.17302305475504
sz000034,神州数码,22.33,1.7,8.24,22.32,22.33,20.63,20.25,22.59,20.15,27707942.0,599719661.0,14951754448.4,11.77,1.82,-0.026166593981683448,3.850149228421231
sz300434,金石亚药,8.12,0.78,10.627,8.12,8.13,7.34,7.18,8.32,6.89,6957480.0,52941139.0,3262160240.64,11.77,1.35,-0.04806565064478314,5.407837837837838
sz000543,皖能电力,6.95,0.21,3.116,6.95,6.96,6.74,6.69,7.1,6.61,37910354.0,261255787.0,15754700150.45,11.79,1.12,-0.02387640449438201,-8.918076923076923
sh603579,荣泰健康,16.75,0.6,3.715,16.72,16.75,16.15,15.5,17.47,15.47,2861212.0,46723538.0,2327820714.25,11.79,1.19,-0.07815079801871225,-39.67788461538461
sh600479,千金药业,9.22,0.42,4.773,9.21,9.22,8.8,8.75,9.4,8.67,10626218.0,95797208.0,3954615818.7400002,11.83,1.74,-0.039583333333333234,-683.1115200000024
sh603393,新天然气,26.46,1.86,7.561,26.46,26.47,24.6,24.5,27.05,23.88,5946704.0,152411941.0,11216958312.42,11.88,1.61,-0.01999999999999997,-63.67680000000001
sh600167,联美控股,5.42,0.39,7.753,5.4,5.42,5.03,4.95,5.5,4.8,10614032.0,54618648.0,12401607554.5,11.92,1.15,-0.035587188612099675,-124.68698412698419
