代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,Market Cap,市盈率,PB,5日的区间涨跌幅,PEG
sh600000,浦发银行,7.0,0.11,1.597,7.0,7.01,6.89,6.89,7.0,6.86,71683218.0,498307471.0,205465237936.0,5.23,0.34,0.024890190336749624,-141.2099999999999
sh600004,白云机场,9.74,0.45,4.844,9.73,9.74,9.29,9.17,9.74,9.09,29169181.0,276640304.0,23051836076.420002,-129.37,1.32,0.03506907545164719,-78.54607142857142
sh600006,东风汽车,5.24,0.24,4.8,5.24,5.25,5.0,4.9,5.37,4.83,29716185.0,152250455.0,10480000000.0,44.57,1.29,-0.03321033210332098,-190.91158986175108
sh600007,中国国贸,17.82,0.61,3.544,17.82,17.84,17.21,17.05,17.95,16.71,4785115.0,83044950.0,17949774755.88,13.88,1.9,0.03846153846153847,157.30666666666653
sh600008,首创环保,2.76,0.08,2.985,2.76,2.77,2.68,2.66,2.78,2.65,89033747.0,242766618.0,20260030268.519997,16.69,1.07,0.014705882352941025,48.138426763110324
sh600009,上海机场,34.27,1.54,4.705,34.26,34.27,32.73,32.73,34.34,32.33,14544225.0,487836134.0,85280255521.8,-205.9,2.13,0.035347432024169234,-241.40000000000003
sh600010,包钢股份,1.47,0.08,5.755,1.46,1.47,1.39,1.39,1.47,1.37,382000326.0,547712564.0,66745265104.56,128.54,1.26,0.03521126760563384,-102.41002525252524
sh600011,华能国际,8.55,0.0,0.0,8.55,8.56,8.55,8.54,8.7,8.31,64468774.0,546525860.0,134218698219.45001,14.72,2.32,-0.023972602739725922,-70.83999999999999
sh600012,皖通高速,13.37,0.36,2.767,13.37,13.38,13.01,12.85,13.65,12.7,11286949.0,149316883.0,22175615700.0,13.3,1.8,0.07562349155269506,-291.1647482014384
sh600015,华夏银行,6.12,0.08,1.325,6.11,6.12,6.04,6.01,6.13,5.99,74055976.0,449221486.0,97399362224.16,4.17,0.36,0.009900990099009984,70.36875000000013
sh600016,民生银行,3.97,0.02,0.506,3.96,3.97,3.95,3.95,3.98,3.91,167796110.0,663310461.0,173816201452.94,4.93,0.33,0.005063291139240511,inf
sh600017,日照港,2.66,0.09,3.502,2.66,2.67,2.57,2.56,2.69,2.53,39852510.0,103851668.0,8181239342.080001,11.93,0.61,-0.0037453183520598453,-95.44
sh600018,上港集团,5.59,0.13,2.381,5.58,5.59,5.46,5.48,5.61,5.44,51741033.0,286920428.0,130158369152.5,9.7,1.08,0.012681159420289908,56.540202391904366
sh600019,宝钢股份,6.32,0.1,1.608,6.32,6.33,6.22,6.21,6.34,6.18,111221626.0,697575517.0,139797502458.88,11.46,0.7,0.027642276422764213,-23.58115384615385
sh600020,中原高速,3.31,0.07,2.16,3.31,3.32,3.24,3.2,3.39,3.14,25308400.0,81933761.0,7438800763.92,11.23,0.67,-0.0831024930747922,-12.014076576576578
sh600021,上海电力,7.96,0.38,5.013,7.95,7.96,7.58,7.48,8.03,7.4,31511833.0,243952376.0,22421279414.2,13.61,1.22,0.002518891687657377,-12.402304794075613
sh600022,山东钢铁,1.31,0.08,6.504,1.31,1.32,1.23,1.24,1.32,1.23,106524278.0,135579721.0,14015492915.74,-103.85,0.66,0.007692307692307699,189.53863275039745
sh600023,浙能电力,5.45,0.02,0.368,5.45,5.46,5.43,5.4,5.51,5.35,79298302.0,430940694.0,73077593482.05,19.8,1.09,0.01301115241635693,14.849999999999996
sh600025,华能水电,9.02,0.14,1.577,9.02,9.03,8.88,8.86,9.09,8.86,51453332.0,464056263.0,162360000000.0,21.2,3.03,0.03203661327231114,226.13333333333355
sh600026,中远海能,12.43,0.27,2.22,12.43,12.44,12.16,12.18,12.56,11.8,26942551.0,330453281.0,59300750589.85,12.8,1.7,-0.05690440060698027,-9.902369668246447
sh600027,华电国际,6.0,0.07,1.18,5.99,6.0,5.93,5.9,6.02,5.76,61572935.0,363896480.0,61365366798.0,26.68,1.54,-0.011532125205930853,-30.707169811320753
sh600028,中国石化,5.97,-0.05,-0.831,5.96,5.97,6.02,6.01,6.09,5.91,236109093.0,1412854945.0,712515032326.62,11.48,0.89,0.0016778523489932528,-168.7560000000003
sh600029,南方航空,5.63,0.22,4.067,5.63,5.64,5.41,5.41,5.65,5.34,58748775.0,323499640.0,102020706229.84,-7.12,2.41,-0.022569444444444427,-4.643478260869566
sh600030,中信证券,21.14,0.96,4.757,21.13,21.14,20.18,20.16,21.22,20.0,121024553.0,2509414266.0,313306359965.06,15.19,1.26,0.03121951219512198,-95.07814814814814
sh600031,三一重工,13.7,0.58,4.421,13.69,13.7,13.12,13.12,13.7,13.02,75132344.0,1012570936.0,116254641246.9,23.57,1.71,0.048201989288446746,-36.47580047660312
sh600032,浙江新能,6.64,0.5,8.143,6.64,6.65,6.14,6.08,6.67,6.01,13473202.0,85592761.0,15967044151.359999,31.44,1.32,-0.07132867132867142,404.16178438661746
sh600033,福建高速,3.05,0.08,2.694,3.04,3.05,2.97,2.97,3.08,2.92,53024718.0,158666845.0,8370419999.999999,9.03,0.75,-0.022435897435897526,665.3568292682849
sh600035,楚天高速,3.62,0.08,2.26,3.61,3.62,3.54,3.51,3.66,3.4,47922316.0,168806745.0,5828619561.62,6.38,0.72,-0.06217616580310875,-293.4799999999998
