代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,Market Cap,市盈率,PB,5日的区间涨跌幅,PEG
sz300411,金盾股份,6.57,0.05,0.767,6.57,6.58,6.52,6.47,6.7,6.42,8832630.0,58429108.0,2670836445.99,-4976.31,2.86,0.0362776025236593,3317.5400000000004
sz300667,必创科技,13.94,-0.15,-1.065,13.93,13.94,14.09,14.09,14.29,13.86,1945300.0,27319347.0,2826542552.66,-4213.37,2.25,0.0272660280029476,4447.446111111111
sz300134,大富科技,8.75,-0.11,-1.242,8.75,8.76,8.86,8.91,8.97,8.73,5036840.0,44398272.0,6715607552.5,-3100.11,1.47,0.0491606714628297,2291.385652173913
sz000638,万方发展,6.55,0.04,0.614,6.54,6.55,6.51,6.55,6.8,6.52,32810891.0,218866752.0,2035691209.05,-2404.76,11.56,-0.0281899109792285,2531.326315789474
sz000017,深中华A,12.8,-0.73,-5.395,12.8,12.81,13.53,13.98,14.88,12.5,158447124.0,2203203227.0,8821567142.4,-2337.3,30.98,0.1024978466838933,-1038.8000000000002
sz300523,辰安科技,17.76,0.01,0.056,17.73,17.76,17.75,17.75,18.28,17.65,1899498.0,34036572.0,4131644450.8800006,-2172.73,2.87,0.092923076923077,2080.924507042253
sz300561,汇金科技,10.52,0.03,0.286,10.51,10.52,10.49,10.45,10.86,10.38,7286400.0,77328492.0,3451695897.0,-1961.92,5.37,0.0658561296859169,3923.84
sh603222,济民医疗,7.04,0.0,0.0,7.03,7.04,7.04,7.04,7.22,6.99,8152001.0,57835545.0,3782151401.6,-1791.89,2.24,0.0368188512518409,2314.5245833333333
sh600615,丰华股份,10.44,-0.17,-1.602,10.44,10.45,10.61,10.6,10.72,10.4,3469381.0,36584129.0,1962934103.52,-1650.84,3.1,0.0009587727708532,-884.3785714285715
sz000029,深深房Ａ,11.89,0.69,6.161,11.89,11.9,11.2,11.2,12.31,11.2,14001213.0,165359062.0,12028637400.0,-1535.53,3.08,0.2046605876393112,5048.286129518074
sh603869,新智认知,8.51,0.12,1.43,8.5,8.51,8.39,8.39,8.73,8.36,6422415.0,55041328.0,4293299323.08,-1453.5,1.08,0.0924261874197689,-inf
sz300928,华安鑫创,41.0,-1.39,-3.279,41.0,41.01,42.39,42.37,42.49,40.35,1527400.0,63148382.0,3280000000.0,-1390.04,2.58,0.0041636051922606,9452.271999999992
sz300746,汉嘉设计,9.63,0.1,1.049,9.61,9.63,9.53,9.58,9.83,9.51,2818500.0,27279747.0,2173860098.6400003,-1343.34,1.76,0.1043577981651376,1597.4854054054051
sh603113,金能科技,7.48,0.09,1.218,7.48,7.49,7.39,7.39,7.55,7.32,6251920.0,46736945.0,6342656552.76,-1230.42,0.76,0.0983847283406756,1670.940740740741
sz300803,指南针,46.58,-0.24,-0.513,46.57,46.58,46.82,46.32,47.78,46.2,10744172.0,504751334.0,19045565141.42,-1180.01,10.89,0.0913776944704779,-1331.2933333333335
sh603679,华体科技,12.86,-0.15,-1.153,12.86,12.87,13.01,13.07,13.57,12.77,12917385.0,169053791.0,2098513665.62,-904.15,2.39,-0.0898796886058033,-2451.5887955182066
sh603580,艾艾精工,13.55,-0.07,-0.514,13.55,13.58,13.62,13.71,13.96,13.49,1695390.0,23217622.0,1770621860.0,-867.73,4.02,0.0686119873817035,801.9276541459959
sz300737,科顺股份,5.82,0.12,2.105,5.82,5.83,5.7,5.72,6.13,5.69,19341340.0,113706301.0,6851807796.660001,-848.56,1.23,0.0981132075471699,1133.950134529148
sh600539,狮头股份,6.67,0.03,0.452,6.67,6.68,6.64,6.64,6.83,6.53,5830420.0,39295011.0,1534100000.0,-800.07,3.71,0.0604133545310015,-2400.21
sz300886,华业香料,21.78,0.01,0.046,21.78,21.82,21.77,22.4,22.4,21.66,690753.0,15229146.0,1623807900.0,-729.4,2.99,0.0456072971675469,-3956.23870967742
sh603885,吉祥航空,12.87,-0.06,-0.464,12.87,12.88,12.93,12.91,13.19,12.77,13255741.0,171437772.0,28494247799.16,-687.88,3.0,0.0592592592592591,-92.22972067039106
sh600692,亚通股份,6.58,0.1,1.543,6.58,6.59,6.48,6.5,6.76,6.4,53620750.0,353643852.0,2314607541.12,-670.75,2.55,0.2029250457038391,745.4693658954584
sz300281,金明精机,5.35,0.1,1.905,5.35,5.36,5.25,5.28,5.49,5.22,7703399.0,41351109.0,2241241153.0,-638.6,1.75,0.0531496062992125,613.2335650446872
sh603615,茶花股份,15.66,-0.4,-2.491,15.65,15.66,16.06,15.97,16.25,15.6,2458300.0,39177392.0,3786901200.0,-618.65,3.19,0.053835800807537,inf
sz300599,雄塑科技,7.42,0.08,1.09,7.42,7.43,7.34,7.38,7.6,7.27,3049211.0,22769197.0,2657336227.14,-615.08,1.18,0.0676258992805755,615.08
sz300141,和顺电气,8.95,0.0,0.0,8.94,8.96,8.95,8.97,9.18,8.94,3118852.0,28219226.0,2272267170.0,-560.14,3.43,0.018202502844141,280.07
sz300126,锐奇股份,6.36,0.12,1.923,6.36,6.37,6.24,6.26,6.46,6.24,5513500.0,35183898.0,1933170336.0,-558.5,1.77,0.0512396694214876,837.75
sz300546,雄帝科技,13.6,0.02,0.147,13.6,13.61,13.58,13.59,13.9,13.5,2325620.0,31882464.0,2523135797.6,-487.13,2.35,0.0658307210031347,-216.50222222222223
sh600703,三安光电,12.57,-0.14,-1.101,12.56,12.57,12.71,12.61,12.74,12.57,22626907.0,286249357.0,62711965398.39,-485.72,1.63,0.0047961630695444,1006.134285714286
