trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2000-07-05,60.3871,60.3871,7.1965,19.5287,19.5287,,,5596020.0
2000-07-06,60.023,60.023,7.1531,19.4109,19.4109,,3.9157,5562280.0
2000-07-07,60.4651,60.4651,7.2058,19.5539,19.5539,,3.8871,5603250.0
2000-07-10,60.101,60.101,7.1624,19.4362,19.4362,,3.9106,5569510.0
2000-07-11,61.0112,61.0112,7.2709,19.7305,19.7305,,3.8523,5653860.0
2000-07-12,61.3753,61.3753,7.3143,19.8483,19.8483,,3.8294,5687600.0
2000-07-13,60.9592,60.9592,7.2647,19.7137,19.7137,,3.8556,5649040.0
2000-07-14,61.3753,61.3753,7.3143,19.8483,19.8483,,3.8294,5687600.0
2000-07-17,60.8552,60.8552,7.2523,19.6801,19.6801,,3.8622,5639400.0
2000-07-18,60.7251,60.7251,7.2368,19.638,19.638,,3.8704,5627350.0
2000-07-19,61.6614,61.6614,7.3483,19.9408,19.9408,,3.8117,5714110.0
2000-07-20,60.9852,60.9852,7.2678,19.7221,19.7221,,3.8539,5651450.0
2000-07-21,61.2193,61.2193,7.2957,19.7978,19.7978,,3.8392,5673140.0
2000-07-24,60.6211,60.6211,7.2244,19.6044,19.6044,,3.8771,5617710.0
2000-07-25,61.1672,61.1672,7.2895,19.781,19.781,,3.8425,5668320.0
2000-07-26,60.8292,60.8292,7.2492,19.6716,19.6716,,3.8638,5636990.0
2000-07-27,63.7939,63.7939,7.6025,20.6304,20.6304,,3.6843,5911730.0
2000-07-28,62.3896,60.7956,6.9605,20.1763,22.6884,,3.7672,5781590.0
2000-07-31,62.5456,60.9477,6.9779,20.2267,22.7451,,3.7578,5796050.0
2000-08-01,62.5456,60.9477,6.9779,20.2267,22.7451,,3.7578,5796050.0
2000-08-02,62.0255,60.4409,6.9199,20.0585,22.556,,3.7893,5747850.0
2000-08-03,62.1555,60.5676,6.9344,20.1006,22.6033,,3.7814,5759900.0
2000-08-04,62.1035,60.5169,6.9286,20.0837,22.5844,,3.7845,5755080.0
2000-08-07,62.0515,60.4662,6.9228,20.0669,22.5654,,3.7877,5750260.0
2000-08-08,62.1555,60.5676,6.9344,20.1006,22.6033,,3.7814,5759900.0
2000-08-09,62.5976,60.9984,6.9837,20.2435,22.764,,3.7547,5800870.0
2000-08-10,62.1555,60.5676,6.9344,20.1006,22.6033,,3.7814,5759900.0
2000-08-11,62.1555,60.5676,6.9344,20.1006,22.6033,,3.7814,5759900.0
2000-08-14,62.7276,61.1251,6.9982,20.2856,22.8113,,3.7469,5812920.0
2000-08-15,62.5976,60.9984,6.9837,20.2435,22.764,,3.7547,5800870.0
2000-08-16,62.7536,61.1504,7.0011,20.294,22.8208,,3.7453,5815330.0
2000-08-17,62.8837,61.2771,7.0156,20.3361,22.8681,,3.7376,5827380.0
2000-08-18,62.5456,60.9477,6.9779,20.2267,22.7451,,3.7578,5796050.0
2000-08-21,62.3375,60.745,6.9547,20.1594,22.6695,,3.7703,5776770.0
2000-08-22,61.8954,60.3141,6.9053,20.0165,22.5087,,3.7973,5735800.0
2000-08-23,61.3753,59.8073,6.8473,19.8483,22.3195,,3.8294,5687600.0
2000-08-24,61.4013,59.8326,6.8502,19.8567,22.329,,3.8278,5690010.0
2000-08-25,61.7654,60.1874,6.8908,19.9744,22.4614,,3.8053,5723750.0
2000-08-28,61.6094,60.0354,6.8734,19.924,22.4047,,3.8149,5709290.0
2000-08-29,61.1672,59.6046,6.8241,19.781,22.2439,,3.8425,5668320.0
2000-08-30,60.6991,59.1484,6.7719,19.6296,22.0737,,3.8721,5624940.0
2000-08-31,60.4651,58.9203,6.7458,19.5539,21.9885,,3.8871,5603250.0
2000-09-01,60.335,58.7936,6.7313,19.5118,21.9412,,3.8955,5591200.0
2000-09-04,60.231,58.6923,6.7197,19.4782,21.9034,,3.9022,5581560.0
2000-09-05,58.3065,56.8169,6.505,18.8558,21.2036,,4.031,5403220.0
2000-09-06,57.3703,55.9046,6.4005,18.5531,20.8631,,4.0968,5316460.0
2000-09-07,57.6824,56.2087,6.4353,18.654,20.9766,,4.0746,5345380.0
2000-09-08,57.7344,56.2594,6.4411,18.6708,20.9955,,4.0709,5350200.0
2000-09-11,57.7864,56.3101,6.4469,18.6876,21.0144,,4.0673,5355020.0
2000-09-12,58.2545,56.7663,6.4991,18.839,21.1847,,4.0346,5398400.0
2000-09-13,58.5406,57.045,6.5311,18.9315,21.2887,,4.0149,5424910.0
2000-09-14,57.9685,56.4875,6.4672,18.7465,21.0806,,4.0545,5371890.0
2000-09-15,57.6304,56.158,6.4295,18.6372,20.9577,,4.0783,5340560.0
2000-09-18,56.6421,55.195,6.3193,18.3176,20.5983,,4.1494,5248980.0
2000-09-19,55.1337,53.7252,6.151,17.8298,20.0498,,4.263,5109200.0
2000-09-20,55.3938,53.9786,6.18,17.9139,20.1443,,4.243,5133300.0
2000-09-21,55.3158,53.9026,6.1713,17.8887,20.116,,4.2489,5126070.0
2000-09-22,55.2378,53.8266,6.1626,17.8634,20.0876,,4.2549,5118840.0
2000-09-25,55.3418,53.9279,6.1742,17.8971,20.1254,,4.2469,5128480.0
2000-09-26,55.7319,54.3081,6.2177,18.0232,20.2673,,4.2172,5164630.0
2000-09-27,56.6941,55.2457,6.3251,18.3344,20.6172,,4.1456,5253800.0
2000-09-28,55.9139,54.4855,6.238,18.0821,20.3335,,4.2035,5181500.0
2000-09-29,56.174,54.7389,6.267,18.1662,20.4281,,4.184,5205600.0
2000-10-09,55.5238,54.1053,6.1945,17.9559,20.1916,,4.233,5145350.0
2000-10-10,57.1102,55.6512,6.3715,18.469,20.7685,,4.1154,5292360.0
2000-10-11,56.7201,55.2711,6.328,18.3428,20.6267,,4.1437,5256210.0
2000-10-12,56.148,54.7135,6.2641,18.1578,20.4186,,4.186,5203190.0
2000-10-13,56.6681,55.2204,6.3222,18.326,20.6077,,4.1475,5251390.0
2000-10-16,55.5238,54.1053,6.1945,17.9559,20.1916,,4.233,5145350.0
2000-10-17,55.6019,54.1814,6.2032,17.9812,20.22,,4.2271,5152580.0
2000-10-18,55.7319,54.3081,6.2177,18.0232,20.2673,,4.2172,5164630.0
2000-10-19,55.3938,53.9786,6.18,17.9139,20.1443,,4.243,5133300.0
2000-10-20,56.2,54.7642,6.2699,18.1746,20.4375,,4.1821,5208010.0
2000-10-23,56.4341,54.9923,6.296,18.2503,20.5226,,4.1647,5229700.0
2000-10-24,56.226,54.7896,6.2728,18.183,20.447,,4.1802,5210420.0
2000-10-25,56.9802,55.5245,6.357,18.4269,20.7212,,4.1248,5280310.0
2000-10-26,56.356,54.9163,6.2873,18.2251,20.4943,,4.1705,5222470.0
2000-10-27,55.7579,54.3334,6.2206,18.0316,20.2767,,4.2153,5167040.0
2000-10-30,55.6539,54.232,6.209,17.998,20.2389,,4.2231,5157400.0
2000-10-31,55.3938,53.9786,6.18,17.9139,20.1443,,4.243,5133300.0
2000-11-01,55.7059,54.2827,6.2148,18.0148,20.2578,,4.2192,5162220.0
2000-11-02,56.174,54.7389,6.267,18.1662,20.4281,,4.184,5205600.0
2000-11-03,55.7059,54.2827,6.2148,18.0148,20.2578,,4.2192,5162220.0
2000-11-06,55.5759,54.156,6.2003,17.9728,20.2105,,4.2291,5150170.0
2000-11-07,55.5498,54.1307,6.1974,17.9644,20.2011,,4.231,5147760.0
2000-11-08,55.7319,54.3081,6.2177,18.0232,20.2673,,4.2172,5164630.0
2000-11-09,56.4341,54.9923,6.296,18.2503,20.5226,,4.1647,5229700.0
2000-11-10,56.9542,55.4992,6.3541,18.4185,20.7118,,4.1267,5277900.0
2000-11-13,57.4223,55.9553,6.4063,18.5699,20.882,,4.0931,5321280.0
2000-11-14,57.3443,55.8793,6.3976,18.5447,20.8536,,4.0986,5314050.0
2000-11-15,57.8124,56.3354,6.4498,18.6961,21.0239,,4.0655,5357430.0
2000-11-16,57.3443,55.8793,6.3976,18.5447,20.8536,,4.0986,5314050.0
2000-11-17,57.0062,55.5498,6.3599,18.4353,20.7307,,4.1229,5282720.0
2000-11-20,56.5381,55.0937,6.3077,18.2839,20.5605,,4.1571,5239340.0
2000-11-21,56.9282,55.4738,6.3512,18.4101,20.7023,,4.1286,5275490.0
2000-11-23,57.6824,56.2087,6.4353,18.654,20.9766,,4.0746,5345380.0
2000-11-24,58.5146,57.0197,6.5282,18.9231,21.2792,,4.0167,5422500.0
2000-11-27,57.3963,55.93,6.4034,18.5615,20.8726,,4.0949,5318870.0
2000-11-28,57.8384,56.3608,6.4527,18.7045,21.0333,,4.0636,5359840.0
2000-11-29,57.1883,55.7272,6.3802,18.4942,20.7969,,4.1098,5299590.0
2000-11-30,57.1622,55.7019,6.3773,18.4858,20.7874,,4.1117,5297180.0
2000-12-01,57.2143,55.7526,6.3831,18.5026,20.8064,,4.108,5302000.0
2000-12-04,56.9542,55.4992,6.3541,18.4185,20.7118,,4.1267,5277900.0
2000-12-05,57.2143,55.7526,6.3831,18.5026,20.8064,,4.108,5302000.0
2000-12-06,56.5381,55.0937,6.3077,18.2839,20.5605,,4.1571,5239340.0
