报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2022-12-31,2023-04-19,,,,3.2,"10派3.20元(含税,扣税后2.88元)",0.043126684636,1.56,20.03,2.785568274734,6.923548650859,-3.456408127842,29352175642,2023-04-19,2023-07-20,2023-07-21,实施分配,2023-07-13
2021-12-31,2022-04-28,,,,4.1,"10派4.10元(含税,扣税后3.69元)",0.052631578947,1.62,19.08,2.785568274734,6.578631779777,-9.124732104586,29352173289,2022-04-28,2022-07-20,2022-07-21,实施分配,2022-07-13
2020-12-31,2021-03-27,,,,4.8,"10派4.80元(含税,扣税后4.32元)",0.048048048048,1.88,18.0,2.785534205506,6.40630962115,-0.994720850096,29352156163,2021-03-27,2021-07-20,2021-07-21,实施分配,2021-07-13
2019-12-31,2020-04-25,,,,6.0,"10派6.00元(含税,扣税后5.40元)",0.051635111876,1.95,16.83,2.785500136277,5.816639411284,5.360017169224,29352122049,2020-04-25,2020-07-22,2020-07-23,实施分配,2020-07-16
2018-12-31,2019-03-26,,,,3.5,"10派3.50元(含税,扣税后3.15元)",0.030146425495,1.85,15.05,2.785500136277,4.776778413737,3.052084485237,29352080397,2019-03-26,2019-06-10,2019-06-11,实施分配,2019-06-04
2017-12-31,2018-04-28,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.010449320794,1.84,13.47,2.785500136277,4.081732079586,2.182715305373,29352080397,2018-04-28,2018-07-12,2018-07-13,实施分配,2018-07-06
2016-12-31,2017-04-01,3.0,,3.0,2.0,"10转3.00派2.00元(含税,扣税后1.80元)",0.012928248222,2.404,15.636,3.45443611805,4.501619021186,4.930440281401,21618279922,2017-04-01,2017-05-24,2017-05-25,实施分配,2017-05-19
2015-12-31,2016-04-07,1.0,,1.0,5.15,"10转1.00派5.15元(含税,扣税后4.635元)",0.028787031861,2.665,15.292,3.250897978877,4.860880287353,7.608556968486,19652981747,2016-04-07,2016-06-22,2016-06-23,实施分配,2016-06-16
2014-12-31,2015-03-19,,,,7.57,"10派7.57元(含税,扣税后6.813元)",0.044346807264,2.521,13.146,3.250897978877,4.190049857932,14.91618200479,18653471415,2015-03-19,2015-06-19,2015-06-23,实施分配,2015-06-16
2013-12-31,2014-03-20,,,,6.6,"10派6.60元(含税,扣税后5.94元)",0.068322981366,2.19,10.957,2.990135635018,3.379456387712,19.703972386357,18653471415,2014-03-20,2014-06-23,2014-06-24,实施分配,2014-06-17
2012-12-31,2013-03-14,,,,5.5,"10派5.50元(含税,扣税后4.95元)",0.05253104107,1.83,9.516,3.19305205597,2.626172733609,25.287693322583,18653471415,2013-03-14,2013-05-31,2013-06-03,实施分配,2013-05-27
