报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2022,511.71亿,-3.46%,508.10亿,-3.31%,1886.22亿,-1.24%,1.5600,20.03,2.79,6.92,12.44,27.57%,7.98%,7.79%,False,False,False,11.46,91.88%
2021,530.03亿,-9.12%,525.50亿,-9.26%,1909.82亿,-2.75%,1.6200,19.08,2.79,6.58,-8.76,28.15%,8.75%,8.51%,False,False,False,11.13,91.66%
2020,583.25亿,-0.99%,579.10亿,0.62%,1963.84亿,2.99%,1.8800,18.00,2.79,6.41,4.31,30.04%,10.81%,10.46%,False,False,False,11.45,91.88%
2019,589.11亿,5.36%,575.54亿,3.43%,1906.88亿,11.60%,1.9500,16.83,2.79,5.82,-2.34,31.21%,12.29%,11.58%,False,False,False,11.64,91.99%
2018,559.14亿,3.05%,556.43亿,2.95%,1708.65亿,1.73%,1.8500,15.05,2.79,4.78,-11.53,32.95%,13.14%,12.27%,False,False,False,12.32,92.39%
2017,542.58亿,2.18%,540.46亿,4.56%,1686.19亿,4.88%,1.8400,13.47,2.79,4.08,-4.79,32.62%,14.45%,13.28%,False,False,False,13.41,92.98%
2016,530.99亿,4.93%,516.87亿,4.29%,1607.79亿,9.72%,1.8500,15.64,3.45,4.50,-8.88,33.38%,16.35%,15.20%,False,False,False,14.91,93.63%
2015,506.04亿,7.61%,495.61亿,6.24%,1465.50亿,18.97%,2.4220,15.29,3.25,4.86,19.24,34.80%,18.82%,17.42%,False,False,False,14.99,93.68%
2014,470.26亿,14.92%,466.50亿,15.48%,1231.81亿,23.16%,2.5210,13.15,3.25,4.19,10.25,38.45%,21.02%,19.18%,False,False,False,15.12,93.73%
2013,409.22亿,19.70%,403.97亿,19.70%,1000.15亿,20.57%,2.1940,10.96,2.99,3.38,16.53,41.19%,21.53%,20.02%,False,False,False,16.99,94.37%
2012,341.86亿,25.29%,337.48亿,24.76%,829.52亿,22.14%,1.8330,9.52,3.19,2.63,4.96,41.36%,20.95%,19.26%,False,False,False,16.71,94.29%
2011,272.86亿,42.28%,270.51亿,42.42%,679.18亿,36.23%,1.4630,7.98,3.19,1.62,10.65,40.28%,20.07%,18.33%,False,False,False,17.03,94.43%
2010,191.77亿,45.10%,189.93亿,44.70%,498.56亿,35.39%,1.2300,8.57,4.09,1.76,-0.38,38.47%,23.27%,15.59%,False,False,False,16.81,94.37%
2009,132.17亿,5.60%,131.26亿,8.16%,368.24亿,6.55%,1.2500,7.70,2.75,1.95,11.72,35.89%,25.86%,19.45%,False,False,False,22.88,95.80%
2008,125.16亿,127.61%,121.36亿,85.15%,345.61亿,33.56%,1.5800,7.36,1.92,2.10,18.64,36.21%,36.71%,30.03%,False,False,False,30.42,96.82%
2007,54.99亿,63.85%,65.55亿,98.10%,258.76亿,36.70%,0.9700,6.50,2.14,0.60,12.73,21.25%,20.10%,19.43%,False,False,False,31.33,96.91%
2006,33.56亿,31.19%,33.09亿,33.89%,189.30亿,29.96%,0.8500,5.67,2.43,0.24,4.87,17.74%,19.37%,13.57%,False,False,False,26.90,96.42%
2005,25.58亿,32.54%,24.71亿,30.46%,145.46亿,28.08%,0.6350,3.97,1.24,0.13,1.47,11.58%,17.21%,16.01%,False,False,False,35.91,97.29%
2004,19.30亿,23.24%,18.94亿,23.35%,167.61亿,39.36%,0.4900,3.45,1.24,0.14,1.26,11.52%,15.17%,14.29%,1.16,1.13,0.04,32.72,97.03%
2003,15.66亿,21.85%,15.36亿,19.95%,120.27亿,47.46%,0.4030,3.07,1.24,0.12,1.02,13.02%,13.96%,13.04%,1.15,1.12,0.05,29.89,96.76%
2002,12.85亿,21.04%,12.80亿,19.85%,81.56亿,33.87%,0.3560,2.20,0.74,0.0100,0.86,15.76%,16.67%,16.15%,1.17,1.14,0.06,34.09,97.15%
2001,10.62亿,33.23%,10.68亿,11.56%,60.93亿,25.83%,0.4410,2.93,1.61,0.0100,0.78,14.78%,15.13%,15.03%,1.19,1.14,0.07,23.58,95.93%
2000,7.97亿,9.31%,9.58亿,4.72%,57.10亿,15.45%,False,3.09,1.61,0.21,0.70,16.77%,13.75%,12.87%,1.19,1.17,0.08,16.56,94.30%
1999,7.29亿,-6.59%,9.14亿,False,49.46亿,-16.93%,0.4390,3.23,1.61,0.02,0.40,23.27%,False,11.92%,1.21,1.18,0.13,12.22,92.06%
1998,7.81亿,21.02%,False,False,47.93亿,-10.04%,False,1.66,0.17,False,0.51,17.93%,False,25.78%,1.22,1.21,0.08,25.20,96.18%
1997,6.45亿,2.53%,False,False,53.28亿,26.37%,False,1.58,0.17,0.17,False,12.11%,False,20.34%,1.20,1.19,0.06,24.74,96.12%
1996,6.29亿,False,False,False,42.16亿,False,False,1.58,0.02,0.24,False,14.92%,False,39.82%,1.16,1.16,0.16,40.18,97.57%
