日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-03,11.72,11.55,11.77,11.44,227957,263561244.0,2.79,-2.2,-0.26,1.5
2024-01-04,11.5,11.32,11.5,11.27,158389,180235756.0,1.99,-1.99,-0.23,1.04
2024-01-05,11.36,11.17,11.5,11.12,163349,184635072.0,3.36,-1.33,-0.15,1.08
2024-01-08,11.08,10.8,11.18,10.8,214256,233699591.0,3.4,-3.31,-0.37,1.41
2024-01-09,10.81,11.27,11.39,10.81,322804,362549830.0,5.37,4.35,0.47,2.13
2024-01-10,11.2,10.95,11.27,10.94,210299,232419854.0,2.93,-2.84,-0.32,1.39
2024-01-11,10.91,11.28,11.34,10.86,203809,227312467.0,4.38,3.01,0.33,1.34
2024-01-12,11.21,11.07,11.27,11.05,136674,152314647.0,1.95,-1.86,-0.21,0.9
2024-01-15,11.02,10.97,11.1,10.83,130432,142972166.0,2.44,-0.9,-0.1,0.86
2024-01-16,10.99,10.92,11.04,10.76,148720,161753524.0,2.55,-0.46,-0.05,0.98
2024-01-17,10.86,10.54,10.88,10.53,147161,157356577.0,3.21,-3.48,-0.38,0.97
2024-01-18,10.46,10.48,10.64,10.13,215748,222300614.0,4.84,-0.57,-0.06,1.42
2024-01-19,10.42,10.25,10.52,10.25,135500,140518187.0,2.58,-2.19,-0.23,0.89
2024-01-22,10.28,9.63,10.33,9.57,206756,205217809.0,7.41,-6.05,-0.62,1.36
2024-01-23,9.62,9.81,9.88,9.57,164252,160416957.45,3.22,1.87,0.18,1.08
