代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
bj430017,星昊医药,12.71,1.83,16.82,12.68,12.71,10.88,10.9,12.89,10.66,3799412.0,45813565.0
bj430047,诺思兰德,15.8,1.18,8.071,15.8,15.82,14.62,14.37,16.0,14.0,2998706.0,45145396.0
bj430090,同辉信息,3.79,0.39,11.471,3.79,3.8,3.4,3.32,3.83,3.28,14224462.0,51497510.0
bj430139,华岭股份,11.64,0.9,8.38,11.64,11.65,10.74,10.75,11.64,10.51,2693293.0,30291333.0
bj430198,微创光电,12.07,0.51,4.412,12.07,12.12,11.56,11.1,12.7,10.7,19790405.0,232390600.0
bj430300,辰光医疗,10.64,0.93,9.578,10.64,10.65,9.71,9.52,10.68,9.5,2887132.0,29834990.0
bj430418,苏轴股份,21.0,1.56,8.025,20.98,21.0,19.44,19.0,21.2,18.96,2884244.0,59355513.0
bj430425,乐创技术,19.94,1.77,9.741,19.91,19.94,18.17,17.3,20.46,17.28,2199900.0,42473046.0
bj430476,海能技术,10.29,0.89,9.468,10.29,10.3,9.4,9.5,10.5,9.24,1679995.0,16632194.0
bj430478,峆一药业,20.04,4.62,29.961,20.04,0.0,15.42,15.4,20.04,15.14,4141052.0,75364005.0
bj430489,佳先股份,6.95,0.43,6.595,6.94,6.95,6.52,6.2,6.95,6.2,7106752.0,47561931.0
bj430510,丰光精密,23.41,0.68,2.992,23.41,23.43,22.73,21.3,24.15,21.03,7088109.0,162739263.0
bj430556,雅达股份,4.66,0.47,11.217,4.65,4.66,4.19,4.18,4.83,4.12,3135215.0,14272479.0
bj430564,天润科技,11.65,1.12,10.636,11.65,11.66,10.53,10.52,11.79,10.33,2581142.0,28930120.0
bj430685,新芝生物,9.32,0.8,9.39,9.32,9.34,8.52,8.5,9.32,8.5,687100.0,6227813.0
bj430718,合肥高科,10.19,0.8,8.52,10.18,10.19,9.39,9.3,10.19,9.27,1728582.0,17162892.0
bj830779,武汉蓝电,26.65,2.25,9.221,26.61,26.65,24.4,24.06,26.97,23.69,395873.0,10277653.0
bj830799,艾融软件,11.76,0.66,5.946,11.76,11.77,11.1,10.75,12.13,10.41,8072968.0,92483897.0
bj830809,安达科技,4.47,0.28,6.683,4.47,4.48,4.19,4.23,4.49,4.12,3920243.0,17274762.0
bj830832,齐鲁华信,4.56,0.52,12.871,4.55,4.56,4.04,4.01,4.58,4.01,1628112.0,6966354.0
bj830839,万通液压,11.12,0.92,9.02,11.08,11.12,10.2,10.05,11.2,10.03,1151945.0,12522929.0
bj830879,基康仪器,8.51,0.72,9.243,8.51,8.55,7.79,7.86,8.6,7.73,1023511.0,8527516.0
bj830896,旺成科技,10.71,0.9,9.174,10.71,10.73,9.81,9.26,11.2,9.01,7402552.0,76631588.0
bj830946,森萱医药,7.12,0.84,13.376,7.12,7.13,6.28,6.32,7.18,6.16,5757708.0,39671735.0
bj830964,润农节水,3.17,0.21,7.095,3.16,3.17,2.96,2.94,3.24,2.87,4587135.0,14214743.0
bj830974,凯大催化,6.59,0.5,8.21,6.59,6.6,6.09,6.1,6.59,6.02,4400373.0,28162454.0
bj831010,凯添燃气,4.01,0.29,7.796,4.01,4.02,3.72,3.69,4.05,3.65,4736218.0,18659722.0
bj831039,国义招标,6.9,0.5,7.813,6.9,6.91,6.4,6.4,6.97,6.25,3992464.0,26860575.0
bj831087,秋乐种业,9.25,0.38,4.284,9.25,9.26,8.87,8.36,9.38,8.0,9934434.0,87000038.0
bj831152,昆工科技,10.5,0.65,6.599,10.5,10.54,9.85,9.77,10.59,9.77,1312602.0,13480000.0
bj831167,鑫汇科,13.81,1.1,8.655,13.8,13.81,12.71,12.61,14.38,12.61,1115314.0,14439142.0
bj831175,派诺科技,13.96,1.36,10.794,13.96,13.97,12.6,12.49,13.99,12.12,2681576.0,35912579.0
bj831195,三祥科技,12.26,1.54,14.366,12.26,12.27,10.72,10.5,12.46,10.3,4608990.0,54326891.0
bj831278,泰德股份,5.13,0.69,15.541,5.1,5.13,4.44,4.33,5.68,4.33,11175980.0,56707138.0
bj831304,迪尔化工,7.0,0.57,8.865,6.99,7.0,6.43,6.43,7.02,6.3,5743791.0,39380953.0
